IDs,Sub_ID,Extension,Baitset
TCGA-GN-A9SD-06,TCGA-GN-A9SD,6,Agilent Custom
TCGA-HR-A2OG-06,TCGA-HR-A2OG,6,Agilent Custom
TCGA-HR-A2OH-06,TCGA-HR-A2OH,6,Agilent Custom
TCGA-LH-A9QB-06,TCGA-LH-A9QB,6,Agilent Custom
TCGA-RP-A690-06,TCGA-RP-A690,6,Agilent Custom
TCGA-RP-A6K9-06,TCGA-RP-A6K9,6,Agilent Custom
TCGA-W3-A825-06,TCGA-W3-A825,6,Agilent Custom
TCGA-WE-A8ZO-06,TCGA-WE-A8ZO,6,Agilent Custom
TCGA-WE-A8ZT-06,TCGA-WE-A8ZT,6,Agilent Custom
TCGA-WE-AAA3-06,TCGA-WE-AAA3,6,Agilent Custom
TCGA-WE-AAA4-06,TCGA-WE-AAA4,6,Agilent Custom
TCGA-YD-A89C-06,TCGA-YD-A89C,6,Agilent Custom
TCGA-YD-A9TB-06,TCGA-YD-A9TB,6,Agilent Custom
TCGA-Z2-A8RT-06,TCGA-Z2-A8RT,6,Agilent Custom
TCGA-Z2-AA3V-06,TCGA-Z2-AA3V,6,Agilent Custom
TCGA-AB-2810-03,TCGA-AB-2810,3,Agilent Custom
TCGA-AB-2826-03,TCGA-AB-2826,3,Agilent Custom
TCGA-AB-2841-03,TCGA-AB-2841,3,Agilent Custom
TCGA-AB-2851-03,TCGA-AB-2851,3,Agilent Custom
TCGA-AB-2854-03,TCGA-AB-2854,3,Agilent Custom
TCGA-AB-2862-03,TCGA-AB-2862,3,Agilent Custom
TCGA-AB-2867-03,TCGA-AB-2867,3,Agilent Custom
TCGA-AB-2877-03,TCGA-AB-2877,3,Agilent Custom
TCGA-AB-2897-03,TCGA-AB-2897,3,Agilent Custom
TCGA-AB-2898-03,TCGA-AB-2898,3,Agilent Custom
TCGA-AB-2899-03,TCGA-AB-2899,3,Agilent Custom
TCGA-AB-2915-03,TCGA-AB-2915,3,Agilent Custom
TCGA-AB-2916-03,TCGA-AB-2916,3,Agilent Custom
TCGA-AB-2917-03,TCGA-AB-2917,3,Agilent Custom
TCGA-AB-2929-03,TCGA-AB-2929,3,Agilent Custom
TCGA-AB-2936-03,TCGA-AB-2936,3,Agilent Custom
TCGA-AB-2942-03,TCGA-AB-2942,3,Agilent Custom
TCGA-AB-2943-03,TCGA-AB-2943,3,Agilent Custom
TCGA-AB-2954-03,TCGA-AB-2954,3,Agilent Custom
TCGA-DU-7304-02,TCGA-DU-7304,2,Agilent Custom
TCGA-05-4244-01,TCGA-05-4244,1,Agilent Custom
TCGA-05-4382-01,TCGA-05-4382,1,Agilent Custom
TCGA-05-4384-01,TCGA-05-4384,1,Agilent Custom
TCGA-05-4389-01,TCGA-05-4389,1,Agilent Custom
TCGA-05-4395-01,TCGA-05-4395,1,Agilent Custom
TCGA-05-4396-01,TCGA-05-4396,1,Agilent Custom
TCGA-05-4397-01,TCGA-05-4397,1,Agilent Custom
TCGA-05-4403-01,TCGA-05-4403,1,Agilent Custom
TCGA-05-4410-01,TCGA-05-4410,1,Agilent Custom
TCGA-05-4415-01,TCGA-05-4415,1,Agilent Custom
TCGA-05-4418-01,TCGA-05-4418,1,Agilent Custom
TCGA-05-4420-01,TCGA-05-4420,1,Agilent Custom
TCGA-05-4422-01,TCGA-05-4422,1,Agilent Custom
